title,date
"The Haunting of Hill House: Silence Lay Steadily","4/26/20"
"The Haunting of Hill House: Screaming Meemies","4/26/20"
"The Haunting of Hill House: Witness Marks","4/26/20"
"The Haunting of Hill House: Eulogy","4/26/20"
"The Haunting of Hill House: Two Storms","4/26/20"
"The Haunting of Hill House: The Bent-Neck Lady","4/25/20"
"The Haunting of Hill House: The Twin Thing","4/25/20"
"The Haunting of Hill House: Touch","4/25/20"
"The Haunting of Hill House: Open Casket","4/25/20"
"The Haunting of Hill House: Steven Sees a Ghost","4/25/20"
"Earthquake Bird","4/3/20"
"Tiger King: Dethroned","4/2/20"
"Tiger King: The Noble Thing to Do","4/2/20"
"Tiger King: Make America Exotic Again","4/2/20"
"Tiger King: Playing with Fire","4/1/20"
"Tiger King: The Secret","4/1/20"
"Tiger King: Cult of Personality","4/1/20"
"Tiger King: Not Your Average Joe","4/1/20"
"Altered Carbon: Season 1: Fallen Angel","3/30/20"
"Altered Carbon: Season 1: Out of the Past","3/30/20"
"El Camino: A Breaking Bad Movie","3/28/20"
"Better Call Saul: Season 4: Something Stupid","3/27/20"
"Better Call Saul: Season 4: Winner","3/23/20"
"Better Call Saul: Season 4: Wiedersehen","3/23/20"
"Better Call Saul: Season 4: Coushatta","3/23/20"
"Better Call Saul: Season 4: Talk","3/23/20"
"Better Call Saul: Season 4: Something Beautiful","3/23/20"
"Better Call Saul: Season 1: Uno","3/23/20"
"Justine","3/23/20"
"Horse Girl","3/22/20"
"Pandemic: How to Prevent an Outbreak: Season 1: Don't Stop Now","3/21/20"
"Pandemic: How to Prevent an Outbreak: Season 1: Prayers Might Work","3/21/20"
"Pandemic: How to Prevent an Outbreak: Season 1: Hold On to Your Roots","3/21/20"
"Pandemic: How to Prevent an Outbreak: Season 1: Seek, Don't Hide","3/20/20"
"Pandemic: How to Prevent an Outbreak: Season 1: Pandemic Is Now","3/19/20"
"Pandemic: How to Prevent an Outbreak: Season 1: It Hunts Us","3/19/20"
"Castlevania: Season 3: Bless Your Dead Little Hearts","3/7/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Eight: Sabrina Is Legend","2/1/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Seven: The Judas Kiss","2/1/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Six: All of Them Witches","2/1/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Five: The Devil Within","2/1/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Four: The Hare Moon","2/1/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Three: Heavy Is the Crown","1/31/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Two: Drag Me to Hell","1/31/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-One: The Hellbound Heart","1/31/20"
"The OA: Part I: Chapter 3: Champion","1/17/20"
"The OA: Part I: Chapter 2: New Colossus","1/17/20"
"The OA: Part II: Chapter 2: Treasure Island","1/17/20"
"MINDHUNTER: Season 2: Episode 9","1/16/20"
"MINDHUNTER: Season 2: Episode 8","1/15/20"
"MINDHUNTER: Season 2: Episode 7","1/15/20"
"MINDHUNTER: Season 2: Episode 6","1/14/20"
"MINDHUNTER: Season 2: Episode 5","1/12/20"
"I Lost My Body","1/11/20"
"Dracula: Season 1: The Dark Compass","1/4/20"
"Dracula: Season 1: Blood Vessel","1/4/20"
"Dracula: Season 1: The Rules of the Beast","1/4/20"
"The Irishman","1/1/20"
"Black Mirror: Season 3: Nosedive","12/31/19"
"Marriage Story","12/23/19"
"The Witcher: Season 1: Much More","12/22/19"
"The Witcher: Season 1: Before a Fall","12/22/19"
"The Witcher: Season 1: Rare Species","12/21/19"
"The Witcher: Season 1: Bottled Appetites","12/21/19"
"The Witcher: Season 1: Of Banquets, Bastards and Burials","12/21/19"
"The Witcher: Season 1: Betrayer Moon","12/21/19"
"The Witcher: Season 1: Four Marks","12/21/19"
"The Witcher: Season 1: The End’s Beginning","12/20/19"
"Solo: A Star Wars Story","11/23/19"
"Pokémon the Series: Sun & Moon: Sun & Moon: When Regions Collide!","11/1/19"
"Pokémon the Series: Sun & Moon: Sun & Moon: Alola to New Adventure!","11/1/19"
"Enemy","10/27/19"
"Gerald's Game","10/23/19"
"BoJack Horseman: Season 1: BoJack Horseman: The BoJack Horseman Story, Chapter One","10/22/19"
"Mary and The Witch's Flower","10/2/19"
"MINDHUNTER: Season 2: Episode 4","9/8/19"
"MINDHUNTER: Season 2: Episode 3","9/2/19"
"MINDHUNTER: Season 2: Episode 2","9/2/19"
"MINDHUNTER: Season 2: Episode 1","9/2/19"
"The OA: Part II: Chapter 1: Angel of Death","8/30/19"
"Dave Chappelle: Sticks & Stones","8/27/19"
"Sense8: Season 2: Amor Vincit Omnia","8/21/19"
"Sense8: Season 2: All I Want Right Now Is One More Bullet","8/21/19"
"Sense8: Season 2: What Family Actually Means","8/21/19"
"Chambers: Season 1: Into the Void","8/21/19"
"Sense8: Season 2: If All the World's a Stage, Identity Is Nothing But a Costume","8/21/19"
"Sense8: Season 2: You Want a War?","8/21/19"
"Sense8: Season 1: Limbic Resonance","8/21/19"
"Sense8: Season 2: I Have No Room In My Heart For Hate","8/19/19"
"Sense8: Season 2: Isolated Above, Connected Below","8/19/19"
"Sense8: Season 2: Fear Never Fixed Anything","8/19/19"
"Sense8: Season 2: Polyphony","8/19/19"
"Sense8: Season 2: Obligate Mutualisms","8/19/19"
"Sense8: Season 2: Who Am I?","8/19/19"
"Sense8: Season 2: Happy F*cking New Year.","8/17/19"
"Sense8: Season 1: I Can’t Leave Her","8/17/19"
"Sense8: Season 1: Just Turn the Wheel and the Future Changes","8/17/19"
"Sense8: Season 1: What Is Human?","8/16/19"
"Sense8: Season 1: Death Doesn’t Let You Say Goodbye","8/16/19"
"Sense8: Season 1: We Will All Be Judged by the Courage of Our Hearts","8/16/19"
"Sense8: Season 1: W. W. N. Double D?","8/16/19"
"Sense8: Season 1: Demons","8/16/19"
"Sense8: Season 1: Art Is Like Religion","8/16/19"
"Sense8: Season 1: What’s Going On?","8/15/19"
"Sense8: Season 1: Smart Money Is on the Skinny Bitch","8/15/19"
"Sense8: Season 1: I Am Also a We","8/15/19"
"The OA: Part II: Chapter 8: Overview","8/8/19"
"The OA: Part II: Chapter 7: Nina Azarova","8/8/19"
"The OA: Part II: Chapter 6: Mirror Mirror","8/8/19"
"The OA: Part II: Chapter 5: The Medium & the Engineer","8/8/19"
"The OA: Part I: Chapter 8: Invisible Self","7/30/19"
"The OA: Part I: Chapter 7: Empire of Light","7/30/19"
"The OA: Part I: Chapter 6: Forking Paths","7/30/19"
"The OA: Part I: Chapter 5: Paradise","7/30/19"
"The OA: Part I: Chapter 4: Away","7/30/19"
"The OA: Part I: Chapter 1: Homecoming","7/19/19"
"The OA: Part II: Chapter 4: SYZYGY","7/19/19"
"Stranger Things: Stranger Things 3: Chapter Eight: The Battle of Starcourt","7/9/19"
"Stranger Things: Stranger Things 3: Chapter Seven: The Bite","7/9/19"
"Stranger Things: Stranger Things 3: Chapter Six: E Pluribus Unum","7/9/19"
"Stranger Things: Stranger Things 3: Chapter Five: The Flayed","7/8/19"
"Stranger Things: Stranger Things 3: Chapter Four: The Sauna Test","7/8/19"
"Stranger Things: Stranger Things 3: Chapter Three: The Case of the Missing Lifeguard","7/8/19"
"Stranger Things: Stranger Things 3: Chapter Two: The Mall Rats","7/8/19"
"Stranger Things: Stranger Things 3: Chapter One: Suzie, Do You Copy?","7/6/19"
"Stranger Things: Chapter One: The Vanishing of Will Byers","7/6/19"
"Legion","7/3/19"
"The OA: Part II: Chapter 3: Magic Mirror","7/2/19"
"Maniac: Limited Series: Option C","6/28/19"
"Maniac: Limited Series: Utangatta","6/28/19"
"Maniac: Limited Series: The Lake of the Clouds","6/28/19"
"Maniac: Limited Series: Ceci N'est Pas Une Drill","6/28/19"
"Maniac: Limited Series: Larger Structural Issues","6/28/19"
"Maniac: Limited Series: Exactly Like You","6/28/19"
"Maniac: Limited Series: Furs by Sebastian","6/28/19"
"Maniac: Limited Series: Having a Day","6/28/19"
"Maniac: Limited Series: Windmills","6/27/19"
"Maniac: Limited Series: The Chosen One!","6/27/19"
"Chilling Adventures of Sabrina: Part 2: Chapter Twenty: The Mephisto Waltz","6/23/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Two: The Dark Baptism","6/23/19"
"Chilling Adventures of Sabrina: Part 1: Chapter One: October Country","6/23/19"
"Chilling Adventures of Sabrina: Part 2: Chapter Nineteen: The Mandrake","6/22/19"
"Chilling Adventures of Sabrina: Part 2: Chapter Eighteen: The Miracles of Sabrina Spellman","6/22/19"
"Chilling Adventures of Sabrina: Part 2: Chapter Seventeen: The Missionaries","6/22/19"
"Chilling Adventures of Sabrina: Part 2: Chapter Sixteen: Blackwood","6/22/19"
"Chilling Adventures of Sabrina: Part 2: Chapter Fifteen: Doctor Cerberus's House of Horror","6/22/19"
"Chilling Adventures of Sabrina: Part 2: Chapter Fourteen: Lupercalia","6/22/19"
"Chilling Adventures of Sabrina: Part 2: Chapter Thirteen: The Passion of Sabrina Spellman","6/22/19"
"Chilling Adventures of Sabrina: Part 2: Chapter Twelve: The Epiphany","6/22/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Eleven: A Midwinter's Tale","6/22/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Ten: The Witching Hour","6/22/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Nine: The Returned Man","6/22/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Eight: The Burial","6/22/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Seven: Feast of Feasts","6/21/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Six: An Exorcism in Greendale","6/21/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Five: Dreams in a Witch House","6/21/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Four: Witch Academy","6/21/19"
"Chilling Adventures of Sabrina: Part 1: Chapter Three: The Trial of Sabrina Spellman","6/20/19"
"I Am Mother","6/14/19"
"MINDHUNTER: Season 1: Episode 10","6/14/19"
"MINDHUNTER: Season 1: Episode 9","6/14/19"
"MINDHUNTER: Season 1: Episode 8","6/14/19"
"MINDHUNTER: Season 1: Episode 7","6/14/19"
"MINDHUNTER: Season 1: Episode 6","6/13/19"
"MINDHUNTER: Season 1: Episode 5","6/13/19"
"MINDHUNTER: Season 1: Episode 4","6/12/19"
"MINDHUNTER: Season 1: Episode 3","6/12/19"
"MINDHUNTER: Season 1: Episode 2","6/12/19"
"MINDHUNTER: Season 1: Episode 1","6/11/19"
"Castlevania: Season 2: End Times","6/11/19"
"Castlevania: Season 2: For Love","6/11/19"
"Castlevania: Season 2: The River","6/10/19"
"Castlevania: Season 2: Last Spell","6/9/19"
"Castlevania: Season 2: Broken Mast","6/9/19"
"Castlevania: Season 2: Shadow Battles","6/8/19"
"Castlevania: Season 2: Old Homes","6/8/19"
"Castlevania: Season 2: War Council","6/8/19"
"Castlevania: Season 1: Monument","6/8/19"
"Castlevania: Season 1: Labyrinth","6/8/19"
"Castlevania: Season 1: Necropolis","6/8/19"
